symbol,root_symbol,margin_day,margin_initial,capital_1x,maint_1x,buffer_1x,initial_req,maint_req,buffer_req,trade_id,horizon_ms,open_ts_utc,close_ts_utc,open_side,qty,contract_multiplier,pred_value,open_exec_px,close_exec_px,open_mid_px,close_mid_px,pnl_db,pnl_calc,dd_dir_ok,dd_pct_move,dd_move_ok,dd_pnl_abs_diff,dd_pnl_ok,dd_status,dd_flags
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,914f9a89-c4e9-4ada-af76-ae6296bca386,1200000,8/10/26 15:02,8/10/26 15:22,SELL,1,50,-0.005408274,,7785.625,7782.625,7785.625,-150,-150,1,0.038547,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,865612ef-6c58-4674-904e-a66971f0039a,1200000,8/10/26 15:09,8/10/26 15:29,SELL,1,50,-0.006936721,,7784.125,7782.625,7784.125,-75,-75,1,0.019274,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,e3c3cee0-bad2-4e2b-91c8-a16aa16840e1,1200000,8/10/26 17:16,8/10/26 17:36,BUY,1,50,0.0026093,,7777.375,7778.875,7777.375,-75,-75,1,0.019283,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,5a9c3e7e-f447-4b88-ad8d-d89c18c46f59,1200000,8/10/26 17:32,8/10/26 17:52,BUY,1,50,0.00086001,,7771.625,7778.625,7771.625,-350,-350,1,0.08999,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,4aaff7a4-e3ab-4af1-8332-c9651de290e0,1200000,8/10/26 18:18,8/10/26 18:38,SELL,1,50,0.000295702,,7770.375,7772.875,7770.375,125,125,1,0.032163,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,e5bc5b0f-64c5-4a33-951f-c6b2b54162a6,1200000,8/10/26 18:37,8/10/26 18:57,SELL,1,50,0.000407106,,7777.875,7770.125,7777.875,-387.5,-387.5,1,0.099741,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,3cf99d86-acbe-414e-9a1f-a97eadb7a936,1200000,8/10/26 18:54,8/10/26 19:14,BUY,1,50,0.0045002,,7779.875,7777.875,7779.875,100,100,1,0.025714,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,8839a723-6a36-48d3-bbad-4b543964be61,1200000,8/10/26 19:00,8/10/26 19:20,BUY,1,50,0.002874883,,7779.875,7777.875,7779.875,100,100,1,0.025714,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,44af72c1-e24e-4b48-bdab-89d26de18417,1200000,8/10/26 19:03,8/10/26 19:23,BUY,1,50,0.001826087,,7779.625,7779.125,7779.625,25,25,1,0.006427,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,bd8168a2-2043-4d4b-9f2e-17f12afc97d5,1200000,8/10/26 19:09,8/10/26 19:29,BUY,1,50,0.002745057,,7776.625,7780.375,7776.625,-187.5,-187.5,1,0.048198,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,daef821d-4cd8-4a22-b6c4-d69b11fc9d20,1200000,8/10/26 19:15,8/10/26 19:35,BUY,1,50,0.002974199,,7775.625,7779.875,7775.625,-212.5,-212.5,1,0.054628,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,3e12d108-d5c9-4ec3-941f-8d68cc919212,1200000,8/10/26 19:20,8/10/26 19:40,BUY,1,50,0.002678738,,7778.125,7779.875,7778.125,-87.5,-87.5,1,0.022494,1,0,1,PASS,
